| Feature type |  Description | Selected properties |Description  |
 | | | 9415 Antall oppstillingspl. Forflytningshemmede | |
 | | | 1355 Areal, totalt | |
 | | | 8766 Areal, kjørbart | |
 | | | 9416 Areal, belyst | |
 | | | 1773 Kjøretøytype, dimensjonerende | |
 | | | 2037 Lovlig adkomst | |
 | | | 4564 Fast dekke | |
 | | | 8765 Vinterstengning | |
 | | | 10769 Vinterstengning, dato | |
 | | | 9549 Vinterdriftsklasse | |
 | | | 9418 Dusj | |
 | | | 9417 Drikkevann | |
 | | | 9419 Strømuttak | |
 | | | 10343 Etableringsår | |
 | | | 11559 Tilleggsinformasjon | |
 | | | 11046 Prosjektreferanse | |
 | | | 5819 Eier | |
 | | | 4565 Vedlikeholdsansvarlig | |
 | | | 8913 Geometri, linje | |
 | | | 5131 Geometri, flate | |
 | [40 Snuplass](https://datakatalogen.vegdata.no/40) | | |  |
| | | 9881 Type | |
 | | | 1254 Spesialformål | |
 | | | 1115 Utforming | |
 | | | 4613 Dekketype | |
 | | | 9880 Belyst | |
 | | | 1356 Areal | |
 | | | 9878 Lengde arm | |
 | | | 9879 Bredde arm | |
 | | | 1774 Kjøretøytype, dimensjonerende | |
 | | | 10362 Etableringsår | |
 | | | 11560 Tilleggsinformasjon | |
 | | | 11047 Prosjektreferanse | |
 | | | 7988 Eier | |
 | | | 8052 Vedlikeholdsansvarlig | |
 | | | 4747 Geometri, punkt | |
 | | | 10890 Geometri, flate | |
 | | | 9428 Utgår_Geometri, linje | |
 | | | | |
|**Streknings ATK**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| | | | |
|**Svingrestriksjoner**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| [907 Sykkelrute, hovednett by/tettsted](https://datakatalogen.vegdata.no/907) | | |  |
| | | 10942 Navn | |
 | | | 10943 Nummer | |
 | | | 10944 Skiltet | |
 | | | 11652 Tilleggsinformasjon | |
 | | | | |
|**Sykkelrute tur/fritid**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| [826 TEN-T veg](https://datakatalogen.vegdata.no/826) | | |  |
| | | 10945 CEDR Strekningsnavn | |
 | | | 11500 CEDR Lenkekode | |
 | | | 10946 CEDR Strekningskode | |
 | | | 10947 CEDR Vegtype | |
 | | | 10948 CEDR ITS-nivå | |
 | | | 10949 Etableringsår | |
 | [887 Trafikkberedskapsklasse](https://datakatalogen.vegdata.no/887) | | |  |
| | | 10698 Trafikkberedskapsklasse | |
 | [47 Trafikklomme](https://datakatalogen.vegdata.no/47) | | |  |
| | | 1257 Bruksområde | |
 | | | 3120 Navn | |
 | | | 1362 Areal | |
 | | | 1307 Lengde med full bredde | |
 | | | 2239 Bredde | |
 | | | 8317 Brøytet areal | |
 | | | 9883 Spesielt parkeringsformål | |
 | | | 4652 Vinteråpen | |
 | | | 10377 Etableringsår | |
 | | | 11567 Tilleggsinformasjon | |
 | | | 11052 Prosjektreferanse | |
 | | | 3125 Vedlikeholdsansvarlig | |
 | | | 4754 Geometri, punkt | |
 | | | 5897 Geometri, linje | |
 | | | 5900 Geometri, flate | |
 | | | 3121 Utgår_Nummer | |
 | | | 3122 Belysning | |
 | | | 1118 Utforming | |
 | | | 4612 Dekketype | |
 | [856 Trafikkreguleringer](https://datakatalogen.vegdata.no/856) | | |  |
| | | 9794 Trafikkreguleringer | |
 | | | 11541 Gjelder tidsrom | |
 | | | 10782 Merknad | |
 | [581 Tunnel](https://datakatalogen.vegdata.no/581) | | |  |
| | | 5225 Navn | |
 | | | 9306 Tunnelnummer | |
 | | | 9134 Tunnelklasse, prosjektert | |
 | | | 3947 Antall parallelle hovedløp | |
 | | | 8945 Lengde, offisiell | |
 | | | 8150 Sum lengde alle løp | |
 | | | 8151 Sum lengde ramper | |
 | | | 11509 Stigning, offisiell | |
 | | | 11510 Stigning, kvalitet | |
 | | | 11448 Sikkerhetsgodkjenningsdato | |
 | | | 9517 Undersjøisk | |
 | | | 9518 Sykkelforbud | |
 | | | 3917 Service-/nødtelefoner til VTS | |
 | | | 3918 Alarm til VTS ved fjerning av brannslokker | |
 | | | 3915 Kabler seksjonert | |
 | | | 3916 Kabler sikret v nedgraving | |
 | | | 9507 Særskilt brannobjekt fra tidspunkt | |
 | | | 9131 Restriksjonsklasse | |
 | | | 9506 Merknad restriksjonsklasse | |
 | | | 3913 Merknad syklende | |
 | | | 9329 Brutus_Id | |
 | | | 10383 Åpningsår | |
 | | | 11148 Prosjektreferanse | |
 | | | 6891 Geometri, punkt | |
 | [67 Tunnelløp](https://datakatalogen.vegdata.no/67) | | |  |
| | | 1081 Navn | |
 | | | 8944 Kategori | |
 | | | 1977 Tunnelprofil | |
 | | | 1130 Type tunnelløp | |
 | | | 1317 Lengde | |
 | | | 1367 Areal tverrsnitt | |
 | | | 3897 Bredde | |
 | | | 10883 Høyde | |
 | | | 7864 Ekstra belysning inngangssone | |
 | | | 10970 Malte tunnelvegger | |
 | | | 9305 Brutus_Id | |
 | | | 5286 Merknad | |
 | | | 8356 Åpningsår | |
 | | | 10693 Rehabiliteringsår | |
 | | | 11060 Prosjektreferanse | |
 | | | 4769 Geometri, linje | |
 | [777 Turistveg](https://datakatalogen.vegdata.no/777) | | |  |
| | | 8130 Link turistveg | |
 | | | 8129 Navn | |
 | | | 8128 Status | |
 | | | 8131 Geometri, hjelpelinje | |
 | [452 Undergang](https://datakatalogen.vegdata.no/452) | | |  |
| | | 5630 Navn | |
 | | | 5271 Går under | |
 | | | 5276 Belysning | |
 | | | 5284 Merknad | |
 | | | 10389 Etableringsår | |
 | | | 11825 Eier | |
 | | | 8092 Vedlikeholdsansvarlig | |
 | | | 4970 Geometri, linje | |
 | [97 Variabelt skilt](https://datakatalogen.vegdata.no/97) | | |  |
| | | 1151 Type | |
 | | | 10783 Skiltnummer, ordinær visning | |
 | | | 3843 Antall ansikt (inkl av) | |
 | | | 3763 Tekst, ordinær visning | |
 | | | 1905 Variasjon | |
 | | | 3745 Skifting av budskap | |
 | | | 8785 Beskrivelse | |
 | | | 6986 Plasseringskode | |
 | | | 6987 Ansiktsside, rettet mot | |
 | | | 1739 Fjernstyring | |
 | | | 4598 Belyst | |
 | | | 9157 Vedtaksnummer | |
 | | | 5291 Skiltutforming | |
 | | | 10393 Etableringsår | |
 | | | 10489 Driftsmerking | |
 | | | 11713 SCADA-merking | |
 | | | 1534 Produsent | |
 | | | 1495 Leverandør | |
 | | | 9153 Arkivnummer | |
 | | | 11665 Arkivreferanse | |
 | | | 11080 Prosjektreferanse | |
 | | | 4796 Geometri, punkt | |
 | [583 Vegbredde](https://datakatalogen.vegdata.no/583) | | |  |
| | | 5264 Vegbredde, totalt | |
 | | | 5555 Dekkebredde | |
 | | | 5262 Målemetode | |
 | | | 5556 Kjørebanebredde | |
 | | | 5261 Dataopprinnelse | |
 | | | 5260 Dato registrert | |
 | | | 6923 Geometri, hjelpelinje | |
 | | | | |
|**Vegbredde beregnet**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| [37 Vegkryss](https://datakatalogen.vegdata.no/37) | | |  |
| | | 1073 Navn | |
 | | | 1114 Type | |
 | | | 1789 Antall armer i rundkjøring | |
 | | | 7822 Kryssnummer | |
 | | | 1792 Rundkjøring, indre diameter | |
 | | | 1791 Rundkjøring, ytre diameter | |
 | | | 2080 Kanalisering sekundærveger | |
 | | | 1788 Kanalisering primærveg | |
 | | | 5512 Merknad | |
 | | | 9548 Cube-tilknytning | |
 | | | 10395 Etableringsår | |
 | | | 11479 Prosjektreferanse | |
 | | | 4744 Geometri, punkt | |
 | | | | |
|**Vegoppmerking langsgående**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| | | | |
|**Vegoppmerking tverrgående**| **FANT IKKE I DATAKATALOGEN** | | |
| | | | |
| [532 Vegreferanse](https://datakatalogen.vegdata.no/532) | | |  |
| | | 4591 Fylkesnummer | |
 | | | 4592 Kommunenummer | |
 | | | 4566 Vegkategori | |
 | | | 4570 VegstatusOver | |
 | | | 4568 Vegnummer | |
 | | | 4569 Hovedparsell | |
 | | | 4567 Vegstatus | |
 | | | 4571 FraMeter | |
 | | | 4572 TilMeter | |
 | | | 4576 Brkode1 | |
 | | | 4577 Brkode2 | |
 | | | 4574 Vegtype | |
 | | | 4573 Fellesvegkode | |
 | | | 4707 Envegsregulering | |
 | | | 4575 Konnekteringslenke | |
 | | | 4578 Måledato | |
 
